subject,qname,own,meta,qtext,actual,confidence
R_vOdo0qVLIe1SV5n,Memphis,0,0.87,Memphis is the state capital of Tennessee,0,0.9
R_UDs4cni4kbZYnux,station,1,0.6,Grand Central in New York is the world's most used train station.,0,0.5
R_UDs4cni4kbZYnux,letters,0,0.6,There are more 5 letter words than 12 letter words,0,0.5
R_UDs4cni4kbZYnux,japan,1,0.7,Japan has the world's highest life expectancy,0,0.9
R_UDs4cni4kbZYnux,kili,1,0.5,Mount Kilimanjaro is higher than Denali,0,0.5
R_UDs4cni4kbZYnux,nile,0,0.6,The Nile River is more than double the length of the Volga,0,0.5
R_UDs4cni4kbZYnux,muon,1,0.5,A muon has negative electric charge,1,0.5
R_UDs4cni4kbZYnux,insects,0,0.3,Centipedes are considered insects,0,0.6
R_UDs4cni4kbZYnux,jhb,1,0.4,Johannesburg is one of South Africa's three capital cities,0,0.5
R_UDs4cni4kbZYnux,wu,0,0.1,More people speak Wu Chinese than Cantonese,1,0.9
R_UDs4cni4kbZYnux,living,1,0.75,More living languages originate in N/S America than Europe,1,0.8
R_UDs4cni4kbZYnux,mozam,0,0.3,Portuguese is the official language of Mozambique,1,0.7
R_UDs4cni4kbZYnux,red,1,0.8,Red is higher frequency light than Blue,0,0.9
R_UDs4cni4kbZYnux,russian,1,0.6,The Russian Cyrillic alphabet contains 29 letters,0,0.5
R_UDs4cni4kbZYnux,eggs,1,0.7,A monotreme is a mammal which lays eggs,1,0.8
R_UDs4cni4kbZYnux,ecuador,0,0.2,The point furthest from Earth's center is in Ecuador.,1,0.5
R_UDs4cni4kbZYnux,jupiter,0,0.15,Jupiter was first discovered by Galileo Galilei,0,0.9
R_UDs4cni4kbZYnux,Boer,1,0.6,The Crimean War was fought before the Boer Wars,1,0.5
R_UDs4cni4kbZYnux,moldova,0,0.5,Transnistria is a disputed territory in Moldova,1,0.5
R_UDs4cni4kbZYnux,alex,1,0.6,Alexander the Great became Pharaoh of Egypt,1,0.7
R_UDs4cni4kbZYnux,leg,0,0.3,Blackbeard had a wooden leg,0,0.5
R_UDs4cni4kbZYnux,alpha,0,0.2,An alpha particle is identical to a helium nucleus,1,0.5
R_UDs4cni4kbZYnux,china,0,0.25,China borders the same number of countries as Russia,1,0.5
R_UDs4cni4kbZYnux,constant,1,0.8,Avogadro's constant is greater than Planck's constant,1,0.9
R_UDs4cni4kbZYnux,joan,1,0.6,Joan of Arc fought at the Battle of Agincourt,0,0.5
R_UDs4cni4kbZYnux,nigeria,1,0.5,Nigeria is the country with most indigenous languages,0,0.5
R_UDs4cni4kbZYnux,zip,0,0.3,The Empire State Building has its own zip code.,1,0.5
R_UDs4cni4kbZYnux,khan,1,0.7,Genghis Khan's real name was Temujin,1,0.8
R_UDs4cni4kbZYnux,norway,1,0.8,Norway separated from Sweden in the 20th Century,1,0.9
R_UDs4cni4kbZYnux,baikal,1,0.5,Lake Baikal is the deepest lake in the world.,1,0.5
R_UDs4cni4kbZYnux,billy,1,0.7,Billy the Kid never actually shot anyone dead,0,0.8
R_UDs4cni4kbZYnux,cyprus,1,0.7,Cyprus is the only country to depict its map on its flag,0,0.5
R_UDs4cni4kbZYnux,Beijing,0,0.4,Shanghai has a greater population than Beijing,1,0.5
R_UDs4cni4kbZYnux,Borneo,1,0.6,The island of Borneo is occupied by three countries,1,0.5
R_UDs4cni4kbZYnux,churchil,0,0.5,Sir Winston churchil was a Labour Prime Minister,0,0.5
R_UDs4cni4kbZYnux,einstein,1,0.65,Albert Einstein never won a Nobel Prize in Physics,0,0.9
R_UDs4cni4kbZYnux,fluffy,0,0.05,There is no German word meaning 'fluffy',0,0.6
R_UDs4cni4kbZYnux,hydrogen,0,0.3,"When Hydrogen nuclei fuse, total mass decreases",1,0.5
R_UDs4cni4kbZYnux,indiana,1,0.4,"Of all the American state flags, Indiana's has the most stars.",0,0.5
R_UDs4cni4kbZYnux,euro,0,0.5,The currency of Switzerland is the Euro,0,0.9
R_UDs4cni4kbZYnux,Georgia,1,0.6,Abkhazia is a disputed territory in Georgia.,1,0.5
R_UDs4cni4kbZYnux,brass,0,0.4,Brass is an alloy of Copper and Mercury,0,0.7
R_UDs4cni4kbZYnux,faroe,1,0.5,The Faroe Islands are an Icelandic territory.,0,0.5
R_UDs4cni4kbZYnux,french,1,0.8,There are more native Japanese speakers than native French speakers,1,0.9
R_UDs4cni4kbZYnux,andes,0,0.3,Part of the Andes mountain range is in Brazil.,0,0.6
R_UDs4cni4kbZYnux,aorta,1,0.5,The aorta is a vein,0,0.5
R_UDs4cni4kbZYnux,bigben,0,0.5,The White House was built before Big Ben,1,0.5
R_UDs4cni4kbZYnux,Greek,1,0.5,There are 24 letters in the Greek alphabet,1,0.5
R_UDs4cni4kbZYnux,birm,1,0.7,"Birmingham, Alabama has a larger population than Birmingham, UK.",0,0.5
R_UDs4cni4kbZYnux,kyrgyz,1,0.6,More people speak Kyrgyz than Uzbek,0,0.6
R_UDs4cni4kbZYnux,leptons,1,0.5,Leptons are made up of quarks,0,0.5
R_UDs4cni4kbZYnux,macbeth,0,0.4,William Wallace lived before King Macbeth,0,0.5
R_UDs4cni4kbZYnux,iberian,0,0.4,Croatia is on the Iberian Peninsula.,0,0.6
R_UDs4cni4kbZYnux,nero,1,0.5,Nero was the first Roman Emperor,0,0.5
R_UDs4cni4kbZYnux,rome,0,0.8,The Magna Carta was signed in Rome,0,0.9
R_UDs4cni4kbZYnux,sahara,0,0.4,The Sahara Desert has a greater area than USA,0,0.5
R_UDs4cni4kbZYnux,cow,0,0.3,'Cheval' is French for 'cow',0,0.5
R_UDs4cni4kbZYnux,Tin,0,0.3,The chemical symbol for Tin is Sn,1,0.5
R_UDs4cni4kbZYnux,widow,1,0.6,Napoleon Bonaparte's first wife was a widow,1,0.5
R_UDs4cni4kbZYnux,rocket,0,0.7,Stephenson's Rocket was the first steam locomotive,0,0.5
R_UDs4cni4kbZYnux,nitrogen,1,0.8,Earth's atmosphere is mostly Nitrogen,1,0.9
R_UDs4cni4kbZYnux,riverSA,0,0.3,The Rub' al Khali is the longest river in Saudi Arabia.,0,0.5
R_UDs4cni4kbZYnux,vjday,0,0.8,VJ Day occurred prior to VE Day,0,0.9
R_UDs4cni4kbZYnux,landl,0,0.5,Paraguay is a landlocked country.,1,0.5
R_UDs4cni4kbZYnux,louis,1,0.6,Marie Antoinette was married to Louis XVI,1,0.5
R_UDs4cni4kbZYnux,uranus,0,0.6,Uranus is bigger than Saturn,0,0.5
R_UDs4cni4kbZYnux,death,1,0.6,Socrates was sentenced to death,1,0.7
R_UDs4cni4kbZYnux,Rosetta,1,0.8,The Rosetta Stone contains an Ancient Greek section,1,0.8
R_UDs4cni4kbZYnux,anagram,1,0.7,There are no single word anagrams of the word 'anagram',1,0.5
R_UDs4cni4kbZYnux,dot,1,0.4,The dot above an 'i' or 'j' is called a 'tittle',1,0.5
R_UDs4cni4kbZYnux,iron,1,0.7,The Iron Age comes after the Bronze Age,1,0.6
R_UDs4cni4kbZYnux,custer,1,0.8,Custer was defeated at Little Bighorn,1,0.8
R_UDs4cni4kbZYnux,newz,1,0.3,Wellington is located on New Zealand's North Island.,1,0.5
R_UDs4cni4kbZYnux,Ocean,1,0.6,The Indian Ocean is the third largest ocean in the world,1,0.5
R_UDs4cni4kbZYnux,Berlin,0,0.8,The Berlin Wall was constructed by East Germany,1,0.8
R_UDs4cni4kbZYnux,africa,1,0.3,There are more countries in Africa than Asia,1,0.6
R_UDs4cni4kbZYnux,lincoln,0,0.3,Schuyler Colfax was Abraham Lincoln's Vice President,0,0.5
R_UDs4cni4kbZYnux,atlantic,0,0.3,Columbus crossed the Atlantic in the Mary Rose,0,0.8
R_UDs4cni4kbZYnux,femur,0,0.4,The longest bone in the human body is the femur,1,0.6
R_UDs4cni4kbZYnux,year,1,0.8,A lightyear is a unit of distance,1,0.8
R_UDs4cni4kbZYnux,Memphis,0,0.52,Memphis is the state capital of Tennessee,0,0.6
R_3PUfpjyhds9hDbE,station,0,0.7,Grand Central in New York is the world's most used train station.,0,0.9
R_3PUfpjyhds9hDbE,letters,1,0.9,There are more 5 letter words than 12 letter words,0,1
R_3PUfpjyhds9hDbE,japan,1,0.45,Japan has the world's highest life expectancy,0,0.8
R_3PUfpjyhds9hDbE,kili,1,0.6,Mount Kilimanjaro is higher than Denali,0,0.8
R_3PUfpjyhds9hDbE,nile,1,0.65,The Nile River is more than double the length of the Volga,0,0.7
R_3PUfpjyhds9hDbE,muon,0,0.5,A muon has negative electric charge,1,0.5
R_3PUfpjyhds9hDbE,insects,1,0.9,Centipedes are considered insects,0,0.9
R_3PUfpjyhds9hDbE,jhb,1,0.8,Johannesburg is one of South Africa's three capital cities,0,0.9
R_3PUfpjyhds9hDbE,wu,0,0.5,More people speak Wu Chinese than Cantonese,1,0.7
R_3PUfpjyhds9hDbE,living,0,0.35,More living languages originate in N/S America than Europe,1,0.7
R_3PUfpjyhds9hDbE,mozam,1,0.3,Portuguese is the official language of Mozambique,1,0.6
R_3PUfpjyhds9hDbE,red,1,0.85,Red is higher frequency light than Blue,0,0.8
R_3PUfpjyhds9hDbE,russian,1,0.25,The Russian Cyrillic alphabet contains 29 letters,0,0.5
R_3PUfpjyhds9hDbE,eggs,0,0.25,A monotreme is a mammal which lays eggs,1,0.5
R_3PUfpjyhds9hDbE,ecuador,0,0.1,The point furthest from Earth's center is in Ecuador.,1,1
R_3PUfpjyhds9hDbE,jupiter,1,0.6,Jupiter was first discovered by Galileo Galilei,0,0.6
R_3PUfpjyhds9hDbE,Boer,1,0.5,The Crimean War was fought before the Boer Wars,1,0.5
R_3PUfpjyhds9hDbE,moldova,0,0.3,Transnistria is a disputed territory in Moldova,1,0.5
R_3PUfpjyhds9hDbE,alex,0,0.75,Alexander the Great became Pharaoh of Egypt,1,0.7
R_3PUfpjyhds9hDbE,leg,1,0.85,Blackbeard had a wooden leg,0,0.9
R_3PUfpjyhds9hDbE,alpha,0,0.3,An alpha particle is identical to a helium nucleus,1,0.5
R_3PUfpjyhds9hDbE,china,0,0.35,China borders the same number of countries as Russia,1,0.8
R_3PUfpjyhds9hDbE,constant,0,0.5,Avogadro's constant is greater than Planck's constant,1,0.5
R_3PUfpjyhds9hDbE,joan,1,0.3,Joan of Arc fought at the Battle of Agincourt,0,0.5
R_3PUfpjyhds9hDbE,nigeria,1,0.4,Nigeria is the country with most indigenous languages,0,0.5
R_3PUfpjyhds9hDbE,zip,0,0.1,The Empire State Building has its own zip code.,1,0.5
R_3PUfpjyhds9hDbE,khan,1,0.35,Genghis Khan's real name was Temujin,1,0.5
R_3PUfpjyhds9hDbE,norway,0,0.4,Norway separated from Sweden in the 20th Century,1,0.5
R_3PUfpjyhds9hDbE,baikal,1,0.3,Lake Baikal is the deepest lake in the world.,1,0.6
R_3PUfpjyhds9hDbE,billy,1,0.1,Billy the Kid never actually shot anyone dead,0,0.6
R_3PUfpjyhds9hDbE,cyprus,0,0.25,Cyprus is the only country to depict its map on its flag,0,0.5
R_3PUfpjyhds9hDbE,Beijing,0,0.6,Shanghai has a greater population than Beijing,1,0.8
R_3PUfpjyhds9hDbE,Borneo,1,0.3,The island of Borneo is occupied by three countries,1,0.6
R_3PUfpjyhds9hDbE,churchil,1,0.7,Sir Winston churchil was a Labour Prime Minister,0,0.9
R_3PUfpjyhds9hDbE,einstein,1,0.3,Albert Einstein never won a Nobel Prize in Physics,0,0.9
R_3PUfpjyhds9hDbE,fluffy,0,0.4,There is no German word meaning 'fluffy',0,0.5
R_3PUfpjyhds9hDbE,hydrogen,1,0.2,"When Hydrogen nuclei fuse, total mass decreases",1,0.5
R_3PUfpjyhds9hDbE,indiana,0,0.25,"Of all the American state flags, Indiana's has the most stars.",0,0.5
R_3PUfpjyhds9hDbE,euro,1,0.85,The currency of Switzerland is the Euro,0,0.9
R_3PUfpjyhds9hDbE,Georgia,1,0.4,Abkhazia is a disputed territory in Georgia.,1,0.6
R_3PUfpjyhds9hDbE,brass,1,0.65,Brass is an alloy of Copper and Mercury,0,0.7
R_3PUfpjyhds9hDbE,faroe,0,0.4,The Faroe Islands are an Icelandic territory.,0,0.6
R_3PUfpjyhds9hDbE,french,0,0.55,There are more native Japanese speakers than native French speakers,1,0.7
R_3PUfpjyhds9hDbE,andes,1,0.7,Part of the Andes mountain range is in Brazil.,0,0.8
R_3PUfpjyhds9hDbE,aorta,0,0.15,The aorta is a vein,0,1
R_3PUfpjyhds9hDbE,bigben,0,0.2,The White House was built before Big Ben,1,0.7
R_3PUfpjyhds9hDbE,Greek,1,0.35,There are 24 letters in the Greek alphabet,1,0.5
R_3PUfpjyhds9hDbE,birm,1,0.4,"Birmingham, Alabama has a larger population than Birmingham, UK.",0,0.7
R_3PUfpjyhds9hDbE,kyrgyz,0,0.2,More people speak Kyrgyz than Uzbek,0,0.5
R_3PUfpjyhds9hDbE,leptons,0,0.25,Leptons are made up of quarks,0,0.5
R_3PUfpjyhds9hDbE,macbeth,0,0.25,William Wallace lived before King Macbeth,0,0.9
R_3PUfpjyhds9hDbE,iberian,1,0.55,Croatia is on the Iberian Peninsula.,0,0.6
R_3PUfpjyhds9hDbE,nero,1,0.6,Nero was the first Roman Emperor,0,0.7
R_3PUfpjyhds9hDbE,rome,0,0.15,The Magna Carta was signed in Rome,0,0.9
R_3PUfpjyhds9hDbE,sahara,0,0.2,The Sahara Desert has a greater area than USA,0,0.9
R_3PUfpjyhds9hDbE,cow,0,0.5,'Cheval' is French for 'cow',0,0.5
R_3PUfpjyhds9hDbE,Tin,0,0.2,The chemical symbol for Tin is Sn,1,1
R_3PUfpjyhds9hDbE,widow,1,0.25,Napoleon Bonaparte's first wife was a widow,1,0.7
R_3PUfpjyhds9hDbE,rocket,0,0.35,Stephenson's Rocket was the first steam locomotive,0,0.8
R_3PUfpjyhds9hDbE,nitrogen,0,0.2,Earth's atmosphere is mostly Nitrogen,1,0.9
R_3PUfpjyhds9hDbE,riverSA,1,0.4,The Rub' al Khali is the longest river in Saudi Arabia.,0,0.5
R_3PUfpjyhds9hDbE,vjday,0,0.5,VJ Day occurred prior to VE Day,0,0.5
R_3PUfpjyhds9hDbE,landl,1,0.4,Paraguay is a landlocked country.,1,0.7
R_3PUfpjyhds9hDbE,louis,1,0.4,Marie Antoinette was married to Louis XVI,1,0.5
R_3PUfpjyhds9hDbE,uranus,1,0.6,Uranus is bigger than Saturn,0,0.9
R_3PUfpjyhds9hDbE,death,0,0.5,Socrates was sentenced to death,1,0.7
R_3PUfpjyhds9hDbE,Rosetta,0,0.55,The Rosetta Stone contains an Ancient Greek section,1,0.5
R_3PUfpjyhds9hDbE,anagram,1,0.75,There are no single word anagrams of the word 'anagram',1,0.6
R_3PUfpjyhds9hDbE,dot,1,0.6,The dot above an 'i' or 'j' is called a 'tittle',1,0.7
R_3PUfpjyhds9hDbE,iron,0,0.35,The Iron Age comes after the Bronze Age,1,0.5
R_3PUfpjyhds9hDbE,custer,1,0.8,Custer was defeated at Little Bighorn,1,0.7
R_3PUfpjyhds9hDbE,newz,1,0.5,Wellington is located on New Zealand's North Island.,1,0.5
R_3PUfpjyhds9hDbE,Ocean,0,0.2,The Indian Ocean is the third largest ocean in the world,1,1
R_3PUfpjyhds9hDbE,Berlin,1,0.6,The Berlin Wall was constructed by East Germany,1,0.5
R_3PUfpjyhds9hDbE,africa,1,0.35,There are more countries in Africa than Asia,1,0.7
R_3PUfpjyhds9hDbE,lincoln,0,0.1,Schuyler Colfax was Abraham Lincoln's Vice President,0,0.7
R_3PUfpjyhds9hDbE,atlantic,0,0.05,Columbus crossed the Atlantic in the Mary Rose,0,1
R_3PUfpjyhds9hDbE,femur,1,0.6,The longest bone in the human body is the femur,1,1
R_3PUfpjyhds9hDbE,year,0,0.6,A lightyear is a unit of distance,1,0.8
R_3PUfpjyhds9hDbE,Memphis,0,0.4,Memphis is the state capital of Tennessee,0,0.9
R_231zD0lhfLrJy4z,station,0,0.75,Grand Central in New York is the world's most used train station.,0,0.6
R_231zD0lhfLrJy4z,letters,1,0.95,There are more 5 letter words than 12 letter words,0,1
R_231zD0lhfLrJy4z,japan,1,0.9,Japan has the world's highest life expectancy,0,0.6
R_231zD0lhfLrJy4z,kili,1,0.5,Mount Kilimanjaro is higher than Denali,0,0.5
R_231zD0lhfLrJy4z,nile,1,0.7,The Nile River is more than double the length of the Volga,0,0.6
R_231zD0lhfLrJy4z,muon,1,0.7,A muon has negative electric charge,1,0.5
R_231zD0lhfLrJy4z,insects,1,0.9,Centipedes are considered insects,0,0.9
R_231zD0lhfLrJy4z,jhb,1,0.65,Johannesburg is one of South Africa's three capital cities,0,0.7
R_231zD0lhfLrJy4z,wu,0,0.45,More people speak Wu Chinese than Cantonese,1,0.7
R_231zD0lhfLrJy4z,living,0,0.25,More living languages originate in N/S America than Europe,1,0.8
R_231zD0lhfLrJy4z,mozam,1,0.55,Portuguese is the official language of Mozambique,1,0.8
R_231zD0lhfLrJy4z,red,0,0.4,Red is higher frequency light than Blue,0,0.5
R_231zD0lhfLrJy4z,russian,1,0.5,The Russian Cyrillic alphabet contains 29 letters,0,0.5
R_231zD0lhfLrJy4z,eggs,0,0.6,A monotreme is a mammal which lays eggs,1,0.5
R_231zD0lhfLrJy4z,ecuador,0,0.37,The point furthest from Earth's center is in Ecuador.,1,0.8
R_231zD0lhfLrJy4z,jupiter,1,0.75,Jupiter was first discovered by Galileo Galilei,0,0.6
R_231zD0lhfLrJy4z,Boer,1,0.7,The Crimean War was fought before the Boer Wars,1,1
R_231zD0lhfLrJy4z,moldova,1,0.65,Transnistria is a disputed territory in Moldova,1,0.9
R_231zD0lhfLrJy4z,alex,1,0.4,Alexander the Great became Pharaoh of Egypt,1,1
R_231zD0lhfLrJy4z,leg,0,0.75,Blackbeard had a wooden leg,0,0.5
R_231zD0lhfLrJy4z,alpha,0,0.4,An alpha particle is identical to a helium nucleus,1,0.5
R_231zD0lhfLrJy4z,china,0,0.4,China borders the same number of countries as Russia,1,0.7
R_231zD0lhfLrJy4z,constant,1,0.55,Avogadro's constant is greater than Planck's constant,1,0.5
R_231zD0lhfLrJy4z,joan,0,0.2,Joan of Arc fought at the Battle of Agincourt,0,1
R_231zD0lhfLrJy4z,nigeria,1,0.65,Nigeria is the country with most indigenous languages,0,0.5
R_231zD0lhfLrJy4z,zip,0,0.15,The Empire State Building has its own zip code.,1,0.7
R_231zD0lhfLrJy4z,khan,1,0.75,Genghis Khan's real name was Temujin,1,0.8
R_231zD0lhfLrJy4z,norway,1,0.7,Norway separated from Sweden in the 20th Century,1,1
R_231zD0lhfLrJy4z,baikal,1,0.55,Lake Baikal is the deepest lake in the world.,1,0.6
R_231zD0lhfLrJy4z,billy,0,0.55,Billy the Kid never actually shot anyone dead,0,0.6
R_231zD0lhfLrJy4z,cyprus,0,0.4,Cyprus is the only country to depict its map on its flag,0,0.6
R_231zD0lhfLrJy4z,Beijing,0,0.45,Shanghai has a greater population than Beijing,1,0.6
R_231zD0lhfLrJy4z,Borneo,1,0.65,The island of Borneo is occupied by three countries,1,0.5
R_231zD0lhfLrJy4z,churchil,0,0.2,Sir Winston churchil was a Labour Prime Minister,0,1
R_231zD0lhfLrJy4z,einstein,0,0.2,Albert Einstein never won a Nobel Prize in Physics,0,0.8
R_231zD0lhfLrJy4z,fluffy,0,0.55,There is no German word meaning 'fluffy',0,0.6
R_231zD0lhfLrJy4z,hydrogen,0,0.7,"When Hydrogen nuclei fuse, total mass decreases",1,0.5
R_231zD0lhfLrJy4z,indiana,0,0.5,"Of all the American state flags, Indiana's has the most stars.",0,0.5
R_231zD0lhfLrJy4z,euro,0,0.75,The currency of Switzerland is the Euro,0,0.7
