,meta,confidence,correct_response
327,0.78,0.9,1
328,0.78,1.0,2
329,0.79,0.5,1
330,0.79,0.7,0
331,0.79,0.8,1
332,0.79,1.0,1
333,0.8,0.5,10
334,0.8,0.55,0
335,0.8,0.6,19
336,0.8,0.65,1
337,0.8,0.7,24
338,0.8,0.75,8
339,0.8,0.76,1
340,0.8,0.8,62
341,0.8,0.85,3
342,0.8,0.89,0
343,0.8,0.9,136
344,0.8,0.95,2
345,0.8,1.0,81
346,0.81,0.7,0
347,0.81,1.0,0
348,0.82,0.8,0
349,0.82,1.0,0
350,0.83,0.7,0
351,0.83,0.9,1
352,0.83,1.0,2
353,0.84,0.7,3
354,0.84,0.8,0
355,0.84,0.9,1
356,0.85,0.5,3
357,0.85,0.6,1
358,0.85,0.65,2
359,0.85,0.7,1
360,0.85,0.75,2
361,0.85,0.8,3
362,0.85,0.85,1
363,0.85,0.9,8
364,0.85,0.95,3
365,0.85,1.0,25
366,0.86,0.7,1
367,0.86,0.9,1
368,0.86,1.0,2
369,0.87,0.7,0
370,0.87,0.9,1
371,0.87,1.0,0
372,0.88,0.8,0
373,0.88,0.88,1
374,0.88,0.9,2
375,0.88,0.99,2
376,0.88,1.0,4
377,0.89,0.65,0
378,0.89,0.9,1
379,0.89,1.0,0
380,0.9,0.5,2
381,0.9,0.6,5
382,0.9,0.7,4
383,0.9,0.75,0
384,0.9,0.8,19
385,0.9,0.85,2
386,0.9,0.9,111
387,0.9,0.91,1
388,0.9,0.95,1
389,0.9,1.0,104
390,0.91,0.8,0
391,0.92,0.9,1
392,0.94,0.9,1
393,0.94,1.0,0
394,0.95,0.5,0
395,0.95,0.85,1
396,0.95,0.88,0
397,0.95,0.9,5
398,0.95,0.95,1
399,0.95,1.0,30
400,0.96,0.99,0
401,0.96,1.0,1
402,0.97,0.9,2
403,0.97,1.0,2
404,0.98,0.9,0
405,0.98,1.0,3
406,0.99,0.8,1
407,0.99,0.9,1
408,0.99,1.0,2
409,1.0,0.5,2
410,1.0,0.6,1
411,1.0,0.8,1
412,1.0,0.9,9
413,1.0,1.0,226
